,sample_attribute
301,strain: DSM 19299 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Jeju || lat_lon: 33.51 N 126.52 E || isolation_source: missing || type-material: type strain of Chryseobacterium jejuense || BioSampleModel: MIGS.ba
302,strain: DSM 17072 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium soldanellicola || BioSampleModel: MIGS.ba
303,strain: Gm-149 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || type-material: type strain of Flavobacterium glycines || BioSampleModel: MIGS.ba
304,strain: CGMCC 1.10076 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Flavobacterium noncentrifugens || BioSampleModel: MIGS.ba
305,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium saliperosum CGMCC 1.3801 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.3801 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium saliperosum || BioSampleModel: MIGS.ba
306,strain: Hel1_33_55 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || geo_loc_name: missing || lat_lon: 54.1841 N 7.9000 E || BioSampleModel: MIGS.ba
307,strain: DSM 23421 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Pricia antarctica || BioSampleModel: MIGS.ba
308,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium anhuiense CGMCC 1.6859 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.6859 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium anhuiense || BioSampleModel: MIGS.ba
309,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium caeni CGMCC 1.7031 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.7031 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium caeni || BioSampleModel: MIGS.ba
310,geo_loc_name: USA || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium psychrophilum DSM 3660 || isol_growth_condt: missing || biome: missing || strain: DSM 3660 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium psychrophilum || BioSampleModel: MIGS.ba
311,strain: DSM 24015 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Riemerella columbipharyngis || BioSampleModel: MIGS.ba
312,strain: DSM 16195 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Ulvibacter litoralis || BioSampleModel: MIGS.ba
313,strain: DSM 24729 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Cellulophaga baltica || BioSampleModel: MIGS.ba
314,strain: DSM 19684 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium hungaricum || BioSampleModel: MIGS.ba
315,strain: CGMCC 1.6101 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Salinimicrobium catena || BioSampleModel: MIGS.ba
316,strain: CGMCC 1.11028 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Muricauda zhangzhouensis || BioSampleModel: MIGS.ba
317,strain: DSM 19886 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Kriegella aquimaris || BioSampleModel: MIGS.ba
318,strain: CGMCC 1.10941 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium taihuense || BioSampleModel: MIGS.ba
319,strain: DSM 15886 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Cloacibacterium normanense || BioSampleModel: MIGS.ba
320,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacteriaceae bacterium Mar_2010_188 || isol_growth_condt: missing || biome: missing || strain: Mar_2010_188 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
321,env_feature: missing || env_material: missing || num_replicons: missing || lat_lon: 54.1841 N 7.9000 E || strain: Hel1_33_143 || collection_date: not collected || isol_growth_condt: missing || geo_loc_name: missing || ref_biomaterial: missing || env_biome: missing || BioSampleModel: MIGS.ba
322,strain: Hel1_31_208 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || BioSampleModel: MIGS.ba
323,collection_date: not collected || env_material: missing || env_biome: missing || geo_loc_name: missing || ref_biomaterial: missing || strain: Mar_2010_102 || num_replicons: missing || lat_lon: missing || env_feature: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
324,strain: MAR_2009_60 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || geo_loc_name: missing || lat_lon: 55.0255 N 8.4567 E || BioSampleModel: MIGS.ba
325,collection_date: not collected || env_material: missing || env_biome: missing || geo_loc_name: missing || ref_biomaterial: missing || strain: MAR_2010_147 || num_replicons: missing || lat_lon: missing || env_feature: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
326,strain: KT25b || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
327,collection_date: not collected || env_material: missing || env_biome: missing || geo_loc_name: missing || ref_biomaterial: missing || strain: RHA_55 || num_replicons: missing || lat_lon: missing || env_feature: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
328,collection_date: not collected || env_material: missing || env_biome: missing || geo_loc_name: missing || ref_biomaterial: missing || strain: Mar_2009_124 || num_replicons: missing || lat_lon: missing || env_feature: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
329,strain: MAR_2009_71 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || geo_loc_name: missing || lat_lon: 55.0255 N 8.4567 E || BioSampleModel: MIGS.ba
330,env_feature: missing || env_material: missing || num_replicons: missing || lat_lon: 55.0255 N 8.4563 E || strain: Mar_2010_89 || collection_date: not collected || isol_growth_condt: missing || geo_loc_name: missing || ref_biomaterial: missing || env_biome: missing || BioSampleModel: MIGS.ba
331,env_feature: missing || env_material: missing || num_replicons: missing || lat_lon: 54.1841 N 7.9000 E || strain: Hel1_33_78 || collection_date: not collected || isol_growth_condt: missing || geo_loc_name: missing || ref_biomaterial: missing || env_biome: missing || BioSampleModel: MIGS.ba
332,strain: DSM 24956 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Lutibacter oricola || BioSampleModel: MIGS.ba
333,strain: DSM 11449 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Capnocytophaga granulosa || BioSampleModel: MIGS.ba
334,strain: DSM 15718 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium degerlachei || BioSampleModel: MIGS.ba
335,strain: CGMCC 1.11023 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Aequorivita viscosa || BioSampleModel: MIGS.ba
336,strain: DSM 25030 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Muricauda zhangzhouensis || BioSampleModel: MIGS.ba
337,strain: DSW-5 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea || lat_lon: missing || isolation_source: missing || type-material: type strain of Polaribacter dokdonensis || BioSampleModel: MIGS.ba
338,strain: DSM 18293 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium aquidurense || BioSampleModel: MIGS.ba
339,strain: DSM 23553 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Salinimicrobium catena || BioSampleModel: MIGS.ba
340,strain: DSM 23581 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Psychroflexus halocasei || BioSampleModel: MIGS.ba
341,strain: DSM 23842 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Bizionia paragorgiae || BioSampleModel: MIGS.ba
342,strain: DSM 22376 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium gillisiae || BioSampleModel: MIGS.ba
343,strain: CGMCC 1.9230 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Flavobacterium urumqiense || BioSampleModel: MIGS.ba
344,strain: DSM 21580 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium humi || BioSampleModel: MIGS.ba
345,strain: DSM 19482 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Israel:Northern Israel || lat_lon: 32.0103114 N 35.2969760 E || isolation_source: missing || type-material: type strain of Chryseobacterium bovis || BioSampleModel: MIGS.ba
346,strain: DSM 23031 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium culicis || BioSampleModel: MIGS.ba
347,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Flavobacterium marinum CGMCC 1.10825 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.10825 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Flavobacterium marinum || BioSampleModel: MIGS.ba
348,"strain: DSM 19326 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: USA: Hawaii, island of Oahu, Kaneohe Bay || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium arothri || BioSampleModel: MIGS.ba"
349,strain: DSM 17934 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Dokdo || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium terrigena || BioSampleModel: MIGS.ba
350,strain: DSM 23048 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Myroides marinus || BioSampleModel: MIGS.ba
351,strain: DSM 16471 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Maribacter orientalis || BioSampleModel: MIGS.ba
352,strain: DSM 25232 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Aquimarina amphilecti || BioSampleModel: MIGS.ba
353,strain: DSM 17047 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium antarcticum || BioSampleModel: MIGS.ba
354,strain: DSM 17453 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium taichungense || BioSampleModel: MIGS.ba
355,geo_loc_name: missing || collection_date: not collected || ref_biomaterial: missing || lat_lon: missing || num_replicons: missing || env_biome: missing || env_feature: missing || strain: FV08 || env_material: missing || isol_growth_condt: missing || BioSampleModel: MIGS.ba
356,strain: CGMCC 1.8704 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Flavobacterium sinopsychrotolerans || BioSampleModel: MIGS.ba
357,strain: DSM 19921 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Chryseobacterium halperniae || BioSampleModel: MIGS.ba
358,strain: DSM 27078 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium urocaniciphilum || BioSampleModel: MIGS.ba
359,"strain: DSM 21035 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Jeju, Woljeong || lat_lon: 33.51 N 126.52 E || isolation_source: missing || type-material: type strain of Hyunsoonleella jejuensis || BioSampleModel: MIGS.ba"
360,strain: DSM 19823 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Myroides profundi || BioSampleModel: MIGS.ba
361,strain: DSM 15719 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Antarctica || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium frigoris || BioSampleModel: MIGS.ba
362,"strain: DSM 17724 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: South Korea:Republic of Korea, Wanju Province || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium wanjuense || BioSampleModel: MIGS.ba"
363,strain: DSM 21789 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Germany || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium swingsii || BioSampleModel: MIGS.ba
364,strain: DSM 24499 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Zunongwangia mangrovi || BioSampleModel: MIGS.ba
365,strain: DSM 17048 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium jeonii || BioSampleModel: MIGS.ba
366,strain: DSM 19891 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Maribacter stanieri || BioSampleModel: MIGS.ba
367,strain: DSM 26351 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || BioSampleModel: MIGS.ba
368,strain: DSM 15365 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Algibacter lectus || BioSampleModel: MIGS.ba
369,strain: CGMCC 1.10370 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium phragmitis || BioSampleModel: MIGS.ba
370,strain: DSM 25730 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Algibacter pectinivorans || BioSampleModel: MIGS.ba
371,strain: CGMCC 1.9227 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Flavobacterium xueshanense || BioSampleModel: MIGS.ba
372,strain: DSM 23515 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Salegentibacter agarivorans || BioSampleModel: MIGS.ba
373,strain: DSM 26000 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium frigidisoli || BioSampleModel: MIGS.ba
374,strain: DSM 16777 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium indologenes || BioSampleModel: MIGS.ba
375,strain: DSM 28881 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Olleya namhaensis || BioSampleModel: MIGS.ba
376,strain: DSM 22251 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Germany: Trier || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium treverense || BioSampleModel: MIGS.ba
377,strain: DSM 26542 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Myroides guanonis || BioSampleModel: MIGS.ba
378,"strain: DSM 18180 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Norway:Jan Mayen, Norwegian/Greenland Sea || lat_lon: 71.0317603 N 8.292371 W || isolation_source: missing || type-material: type strain of Flaviramulus basaltis || BioSampleModel: MIGS.ba"
379,"strain: SUR2 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: Slovenia: Dogose, Maribor || lat_lon: 46.4443313 N 15.6211977 E || isolation_source: Dehydrated sludge of the municipal sewage || type-material: type strain of Chryseobacterium limigenitum || BioSampleModel: MIGS.ba"
380,strain: DSM 4002 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium succinicans || BioSampleModel: MIGS.ba
381,strain: XJ109 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Algoriella xinjiangensis || BioSampleModel: MIGS.ba
382,strain: DSM 25575 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium oleae || BioSampleModel: MIGS.ba
383,strain: DS-12 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Flavobacterium ummariense || BioSampleModel: MIGS.ba
384,strain: DSM 17794 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Salegentibacter flavus || BioSampleModel: MIGS.ba
385,strain: DSM 23925 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Bizionia echini || BioSampleModel: MIGS.ba
386,strain: DSM 21019 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Robiginitalea myxolifaciens || BioSampleModel: MIGS.ba
387,strain: DSM 11385 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Capnocytophaga haemolytica || BioSampleModel: MIGS.ba
388,strain: DSM 25510 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || BioSampleModel: MIGS.ba
389,strain: DSM 24450 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Lutibacter maritimus || BioSampleModel: MIGS.ba
390,strain: CGMCC 1.6114 || collection_date: not collected || env_biome: missing || env_feature: missing || env_material: missing || geo_loc_name: missing || isol_growth_condt: missing || lat_lon: missing || num_replicons: missing || ref_biomaterial: missing || type-material: type strain of Zhouia amylolytica || BioSampleModel: MIGS.ba
391,strain: DSM 17452 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Chryseobacterium formosense || BioSampleModel: MIGS.ba
392,strain: CGMCC 1.12333 || collection_date: not collected || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || host: not applicable || num_replicons: missing || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Pustulibacterium marinum || BioSampleModel: MIGS.ba
393,"strain: DSM 24786 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: Denmark: Kattegat,Hirsholm || lat_lon: 57.484260 N 10.623569 E || isolation_source: missing || type-material: type strain of Cellulophaga fucicola || BioSampleModel: MIGS.ba"
394,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Sinomicrobium oceani CGMCC 1.12145 || isol_growth_condt: missing || biome: missing || strain: CGMCC 1.12145 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Sinomicrobium oceani || BioSampleModel: MIGS.ba
395,geo_loc_name: missing || lat_lon: not collected || num_replicons: missing || project_name: Chryseobacterium sp. OV279 || isol_growth_condt: missing || biome: missing || strain: OV279 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || BioSampleModel: MIGS.ba
396,"geo_loc_name: United Kingdom:North Sea off Aberdeen, Scotland, UK || lat_lon: not collected || num_replicons: missing || project_name: Leeuwenhoekiella marinoflava DSM 3653 || isol_growth_condt: missing || biome: missing || strain: DSM 3653 || ref_biomaterial: missing || feature: missing || collection_date: not collected || env_package: missing || material: missing || investigation_type: bacteria_archaea || type-material: type strain of Leeuwenhoekiella marinoflava || BioSampleModel: MIGS.ba"
397,strain: DSM 25661 || collection_date: missing || isol_growth_condt: missing || ref_biomaterial: missing || feature: missing || material: missing || biome: missing || num_replicons: missing || host: not applicable || geo_loc_name: missing || lat_lon: missing || isolation_source: missing || type-material: type strain of Psychroflexus salarius || BioSampleModel: MIGS.ba
